word,cefr_level,part_of_speech,definition
inexorable,C2,adjective,relentless
ingenuous,C2,adjective,innocent
inherent,C2,adjective,intrinsic
innate,C2,adjective,inborn
innocuous,C2,adjective,harmless
insatiable,C2,adjective,impossible to satisfy
insidious,C2,adjective,proceeding harmfully but subtly
insinuate,C2,verb,to suggest indirectly
insipid,C2,adjective,lacking flavor
insolent,C2,adjective,disrespectful
instigate,C2,verb,to provoke
insular,C2,adjective,narrow-minded
intractable,C2,adjective,stubborn
intransigent,C2,adjective,uncompromising
intrepid,C2,adjective,fearless
inundate,C2,verb,to overwhelm
invective,C2,noun,abusive language
inveterate,C2,adjective,habitual
invidious,C2,adjective,likely to cause resentment
irascible,C2,adjective,easily angered
ire,C2,noun,anger
irresolute,C2,adjective,uncertain
itinerant,C2,adjective,traveling
jubilant,C2,adjective,joyful
judicious,C2,adjective,wise
juxtapose,C2,verb,to place side by side
lackadaisical,C2,adjective,lacking enthusiasm
laconic,C2,adjective,brief
languid,C2,adjective,weak
largesse,C2,noun,generosity
latent,C2,adjective,hidden
laud,C2,verb,to praise
lethargic,C2,adjective,sluggish
levity,C2,noun,lightness
litigate,C2,verb,to engage in lawsuit
loquacious,C2,adjective,talkative
lucid,C2,adjective,clear
luminous,C2,adjective,bright
magnanimous,C2,adjective,generous
maladroit,C2,adjective,clumsy
malevolent,C2,adjective,malicious
malign,C2,verb,to speak ill of
malleable,C2,adjective,easily influenced
maverick,C2,noun,nonconformist
mawkish,C2,adjective,overly sentimental
mellifluous,C2,adjective,sweet-sounding
mendacious,C2,adjective,lying
mercurial,C2,adjective,changeable
meticulous,C2,adjective,very careful
mimicry,C2,noun,imitation
misanthrope,C2,noun,one who hates people
mitigate,C2,verb,to lessen severity
mollify,C2,verb,to soothe
morose,C2,adjective,gloomy
mundane,C2,adjective,ordinary
munificent,C2,adjective,generous
myriad,C2,adjective,countless
nadir,C2,noun,lowest point
nascent,C2,adjective,emerging
nebulous,C2,adjective,vague
nefarious,C2,adjective,wicked
neophyte,C2,noun,beginner
obdurate,C2,adjective,stubborn
obfuscate,C2,verb,to confuse
oblique,C2,adjective,indirect
obsequious,C2,adjective,overly obedient
obstinate,C2,adjective,stubborn
obtuse,C2,adjective,slow to understand
officious,C2,adjective,interfering
ominous,C2,adjective,threatening
onerous,C2,adjective,burdensome
opaque,C2,adjective,not transparent
opprobrium,C2,noun,harsh criticism
ornate,C2,adjective,elaborately decorated
oscillate,C2,verb,to swing back and forth
ostentatious,C2,adjective,showy
palliate,C2,verb,to make less severe
palpable,C2,adjective,tangible
panacea,C2,noun,cure-all
paradigm,C2,noun,model
paradox,C2,noun,contradiction
paragon,C2,noun,model of excellence
partisan,C2,adjective,biased
paucity,C2,noun,scarcity
pedantic,C2,adjective,overly concerned with details
pellucid,C2,adjective,transparent
penchant,C2,noun,liking
penurious,C2,adjective,poor
perfidious,C2,adjective,treacherous
perfunctory,C2,adjective,done without care
pernicious,C2,adjective,harmful
perturb,C2,verb,to disturb
pervasive,C2,adjective,widespread
phlegmatic,C2,adjective,calm
piety,C2,noun,religious devotion
pinnacle,C2,noun,peak
pious,C2,adjective,religious
placate,C2,verb,to calm
platitude,C2,noun,cliché
plethora,C2,noun,excess
poignant,C2,adjective,emotionally moving
ponderous,C2,adjective,heavy
portent,C2,noun,omen
pragmatic,C2,adjective,practical
precarious,C2,adjective,risky
precipitate,C2,verb,to cause to happen suddenly
preclude,C2,verb,to prevent
precocious,C2,adjective,advanced for age
predilection,C2,noun,preference
preponderance,C2,noun,superiority in weight
presage,C2,verb,to foretell
prescient,C2,adjective,having foresight
prestige,C2,noun,high status
presumptuous,C2,adjective,overconfident
pretentious,C2,adjective,showy
prevaricate,C2,verb,to lie
pristine,C2,adjective,unspoiled
probity,C2,noun,integrity
proclivity,C2,noun,tendency
procrastinate,C2,verb,to delay
prodigal,C2,adjective,wasteful
prodigious,C2,adjective,enormous
profane,C2,adjective,disrespectful
profligate,C2,adjective,recklessly extravagant
profound,C2,adjective,deep
profuse,C2,adjective,abundant
proliferate,C2,verb,to multiply
prolific,C2,adjective,productive
propensity,C2,noun,tendency
propitious,C2,adjective,favorable
prosaic,C2,adjective,dull
proscribe,C2,verb,to forbid
proverbial,C2,adjective,well-known
prudent,C2,adjective,wise
puerile,C2,adjective,childish
pugnacious,C2,adjective,combative
punctilious,C2,adjective,very careful
pungent,C2,adjective,sharp-smelling
quaint,C2,adjective,charmingly old-fashioned
quandary,C2,noun,dilemma
querulous,C2,adjective,complaining
quixotic,C2,adjective,idealistic
quotidian,C2,adjective,daily
ramification,C2,noun,consequence
rancor,C2,noun,bitterness
rapacious,C2,adjective,greedy
recalcitrant,C2,adjective,stubbornly defiant
recant,C2,verb,to withdraw statement
recondite,C2,adjective,obscure
redress,C2,noun,remedy
refute,C2,verb,to disprove
relegate,C2,verb,to demote
relinquish,C2,verb,to give up
remiss,C2,adjective,negligent
renegade,C2,noun,traitor
replete,C2,adjective,filled
reprehensible,C2,adjective,deserving blame
repudiate,C2,verb,to reject
rescind,C2,verb,to revoke
resilient,C2,adjective,able to recover
resolute,C2,adjective,determined
respite,C2,noun,rest
reticent,C2,adjective,reserved
revere,C2,verb,to respect deeply
rhetoric,C2,noun,art of persuasion
rife,C2,adjective,widespread
robust,C2,adjective,strong
ruminate,C2,verb,to think deeply
sagacious,C2,adjective,wise
salient,C2,adjective,most noticeable
salubrious,C2,adjective,healthy
sanction,C2,noun,penalty
sanguine,C2,adjective,optimistic
sardonic,C2,adjective,mocking
satiate,C2,verb,to satisfy fully
scrupulous,C2,adjective,very careful
scrutinize,C2,verb,to examine closely
secular,C2,adjective,non-religious
seditious,C2,adjective,inciting rebellion
sensory,C2,adjective,relating to senses
sententious,C2,adjective,preachy
serpentine,C2,adjective,winding
servile,C2,adjective,submissive
sever,C2,verb,to cut off
slander,C2,noun,false spoken statement
sobriety,C2,noun,seriousness
solicitous,C2,adjective,concerned
solvent,C2,adjective,able to pay debts
soporific,C2,adjective,sleep-inducing
sovereign,C2,adjective,supreme
sparse,C2,adjective,thinly scattered
specious,C2,adjective,seemingly true but false
sporadic,C2,adjective,occasional
spurious,C2,adjective,false
squalid,C2,adjective,dirty
squander,C2,verb,to waste
stagnant,C2,adjective,not moving
static,C2,adjective,unchanging
steadfast,C2,adjective,loyal
stigma,C2,noun,mark of disgrace
stipulate,C2,verb,to specify
stoic,C2,adjective,unemotional
stratagem,C2,noun,scheme
strident,C2,adjective,harsh-sounding
stringent,C2,adjective,strict
stymie,C2,verb,to obstruct
subjugate,C2,verb,to conquer
sublime,C2,adjective,awe-inspiring
substantiate,C2,verb,to prove
subversive,C2,adjective,undermining
succinct,C2,adjective,brief
suffrage,C2,noun,right to vote
superfluous,C2,adjective,unnecessary
supplant,C2,verb,to replace
suppress,C2,verb,to restrain
surfeit,C2,noun,excess
surmise,C2,verb,to guess
surreptitious,C2,adjective,secret
sycophant,C2,noun,flatterer
tacit,C2,adjective,implied
taciturn,C2,adjective,reserved
tangential,C2,adjective,peripheral
tangible,C2,adjective,touchable
tawdry,C2,adjective,cheap
temerity,C2,noun,audacity
temperance,C2,noun,moderation
tenable,C2,adjective,defensible
tenacious,C2,adjective,persistent
tentative,C2,adjective,uncertain
tenuous,C2,adjective,weak
terse,C2,adjective,brief
tirade,C2,noun,angry speech
torpor,C2,noun,inactivity
tortuous,C2,adjective,winding
tractable,C2,adjective,obedient
tranquil,C2,adjective,calm
transgress,C2,verb,to violate
transient,C2,adjective,temporary
travesty,C2,noun,mockery
trepidation,C2,noun,fear
trite,C2,adjective,overused
trivial,C2,adjective,unimportant
truculent,C2,adjective,aggressive
truncate,C2,verb,to shorten
turbulent,C2,adjective,chaotic
turgid,C2,adjective,swollen
turpitude,C2,noun,wickedness
tyranny,C2,noun,oppressive rule
ubiquitous,C2,adjective,everywhere
ulterior,C2,adjective,hidden
umbrage,C2,noun,offense
unassuming,C2,adjective,modest
uncanny,C2,adjective,mysterious
unctuous,C2,adjective,excessively flattering
undermine,C2,verb,to weaken
unequivocal,C2,adjective,clear
unfettered,C2,adjective,unrestricted
unprecedented,C2,adjective,never done before
unwitting,C2,adjective,unaware
urbane,C2,adjective,sophisticated
usurp,C2,verb,to seize power
utilitarian,C2,adjective,practical
utopia,C2,noun,ideal place
vacillate,C2,verb,to waver
vacuous,C2,adjective,empty
vanguard,C2,noun,forefront
vapid,C2,adjective,dull
variegated,C2,adjective,diverse
vehement,C2,adjective,passionate
venal,C2,adjective,corrupt
venerable,C2,adjective,respected
venerate,C2,verb,to respect
veracity,C2,noun,truthfulness
verbose,C2,adjective,wordy
verdant,C2,adjective,green
vestige,C2,noun,trace
vex,C2,verb,to annoy
viable,C2,adjective,feasible
vicarious,C2,adjective,experienced through another
vicissitude,C2,noun,change
vigilant,C2,adjective,watchful
vilify,C2,verb,to defame
vindicate,C2,verb,to clear of blame
vindictive,C2,adjective,vengeful
virulent,C2,adjective,poisonous
viscous,C2,adjective,thick
vitriolic,C2,adjective,caustic
vituperate,C2,verb,to abuse verbally
vivacious,C2,adjective,lively
vociferous,C2,adjective,loud
volatile,C2,adjective,unstable
volition,C2,noun,free will
voracious,C2,adjective,very hungry
wane,C2,verb,to decrease
wanton,C2,adjective,reckless
wary,C2,adjective,cautious
waive,C2,verb,to give up
welter,C2,noun,confusion
whimsical,C2,adjective,playful
wily,C2,adjective,cunning
wistful,C2,adjective,yearning
wizened,C2,adjective,shriveled
wrath,C2,noun,intense anger
wry,C2,adjective,ironic
xenophobia,C2,noun,fear of foreigners
zealot,C2,noun,fanatic
zenith,C2,noun,highest point
